Status,Time (hrs),Layers,Layer thickness (um),Volume (ml),Material
FINISHED,21.13245,858,25,27.19,Black V4
FINISHED,21.45291778,5131,25,25.27,Black V4
FINISHED,19.24441278,1022,100,251,Flexible V2
FINISHED,12.68056472,2710,25,7.14,Clear V4
FINISHED,3.857858611,721,25,8.69,Clear V4
FINISHED,20.67223528,4011,25,45.74,Black V4
FINISHED,2.521746111,496,25,4.87,Grey V4
FINISHED,14.69039083,1926,50,95.21,White V4
FINISHED,7.703413056,1256,50,7.89,Clear V4
FINISHED,4.405227222,1005,50,8.88,Clear V4
FINISHED,18.56356778,1082,25,36.38,Grey V4
FINISHED,14.13843472,1926,50,95.21,White V4
FINISHED,14.10461639,1926,50,95.21,White V4
FINISHED,13.79131639,1926,50,95.21,White V4
FINISHED,4.554768889,641,50,32.45,Clear V4
FINISHED,8.3452925,976,100,97.53,Grey V4
FINISHED,3.136693889,335,50,7.77,Grey V4
FINISHED,4.784253056,464,50,38.77,Clear V4
FINISHED,24.72133528,464,50,38.77,Clear V4
FINISHED,4.877628611,464,50,38.77,Clear V4
FINISHED,4.747878611,464,50,38.77,Clear V4
FINISHED,41.53738944,4050,25,273.24,Clear V4
FINISHED,20.13934083,325,100,17.49,Black V4
FINISHED,2.735758889,325,100,17.49,Black V4
FINISHED,6.175992778,673,50,22.75,Tough V5
FINISHED,4.795520278,464,50,38.77,Clear V4
FINISHED,17.37443,2440,25,79.41,Black V4
FINISHED,16.12075056,3126,25,50.66,Black V4
FINISHED,4.717951111,464,50,38.77,Clear V4
FINISHED,12.10922722,1649,25,56.67,Black V4
FINISHED,14.32177389,2193,50,129.86,Clear V4
FINISHED,16.06808528,2652,25,72.88,High Temp V1
FINISHED,4.109469167,464,50,31.02,Clear V4
FINISHED,15.79740639,2652,25,72.88,High Temp V1
FINISHED,13.90403694,1240,100,217.1,Black V4
FINISHED,12.66802194,1402,50,144.25,High Temp V1
FINISHED,6.359010278,862,25,30.89,Clear V4
FINISHED,2.396358333,92,50,1.06,Flexible V2
FINISHED,12.29408417,762,50,79.83,Tough V5
FINISHED,14.76951111,752,50,83.99,Tough V5
FINISHED,5.996756389,737,100,53.35,White V4
FINISHED,14.86071889,752,50,83.99,Tough V5
FINISHED,14.71419833,752,50,83.99,Tough V5
FINISHED,15.29501361,988,50,80.91,Tough V5
FINISHED,2.926149444,618,50,7.4,Grey V4
FINISHED,7.224802222,988,50,15.14,Tough V5
FINISHED,5.4529175,603,50,53.02,White V4
FINISHED,4.893410833,462,50,43.76,White V4
FINISHED,13.93602278,876,50,71.72,Tough V5
FINISHED,13.44092806,876,50,74,Tough V5
FINISHED,2.335842778,455,50,4.15,Grey V4
FINISHED,2.106440833,371,50,7.38,White V4
FINISHED,11.75389306,1266,50,100.55,White V4
FINISHED,2.260284444,455,50,4.03,White V4
FINISHED,13.68273361,876,50,69.35,Tough V5
FINISHED,6.223153611,604,100,44.95,Tough V5
FINISHED,13.52807944,876,50,66.59,Tough V5
FINISHED,3.228711667,536,50,18,Grey V4
FINISHED,2.834573333,545,50,7.21,Grey V4
FINISHED,9.239111111,876,50,35.5,Tough V5
FINISHED,13.30456944,2233,50,50.63,Grey V4
FINISHED,10.17721139,853,100,96.14,Tough V5
FINISHED,2.776922778,210,100,32.94,White V4
FINISHED,4.859111944,545,50,7.39,Tough V5
FINISHED,4.833048611,549,50,14.76,Tough V5
FINISHED,7.234179167,754,50,24.32,Tough V5
FINISHED,6.984141389,635,50,30.65,Tough V5
FINISHED,10.96482667,699,50,45.19,Tough V5
FINISHED,20.94344694,971,100,286.6,Tough V5
FINISHED,4.720011667,464,50,31.02,Clear V4
FINISHED,14.75825139,2087,25,74.4,Grey V4
FINISHED,4.301566667,470,50,28.97,Clear V4
FINISHED,4.964992222,556,50,12,Durable V2
FINISHED,13.89236806,1780,50,52.17,Durable V2
FINISHED,12.33547167,1715,50,56.36,Flexible V2
FINISHED,10.15501167,1965,25,29.43,High Temp V1
FINISHED,3.228541111,277,50,12.12,Tough V5
FINISHED,5.560406944,1007,25,23.62,High Temp V1
FINISHED,9.552395278,1007,25,70.86,High Temp V1
FINISHED,5.579660833,460,50,11.58,Tough V5
FINISHED,34.66672583,1158,50,33.07,Flexible V2
FINISHED,18.01061333,1016,100,194.8,Tough V5
FINISHED,9.922036944,1397,50,19.4,Flexible V2
FINISHED,12.36681306,1461,50,44.49,Flexible V2
FINISHED,5.016471667,862,25,14.94,Clear V4
FINISHED,12.55711306,2072,50,55.09,Black V4
FINISHED,6.616326389,1567,50,12,Black V4
FINISHED,2.850899444,446,100,24.17,White V4
FINISHED,2.715512778,613,25,0.91,Black V4
FINISHED,19.88630778,2293,50,130.84,Black V4
FINISHED,23.77298333,2850,50,121.77,Black V4
FINISHED,4.524878056,376,100,72.35,Grey V4
FINISHED,3.720755278,837,50,9.11,White V4
FINISHED,7.839040556,1874,25,11.33,Clear V4
FINISHED,4.747165556,903,50,12.44,White V4
FINISHED,7.106789444,1402,25,10.91,Black V4
FINISHED,6.5848875,1430,100,15.37,Clear V4
FINISHED,6.917149444,802,100,68.74,Grey V4
FINISHED,2.848274444,523,100,5.28,Grey V4
FINISHED,1.445980833,20,50,0.74,Flexible V2
FINISHED,8.661225,370,100,74.82,Grey V4
FINISHED,6.356211389,699,50,18.16,Tough V5
FINISHED,2.407095556,460,50,8.56,Clear V4
FINISHED,2.838075556,110,50,3.87,Flexible V2
FINISHED,2.599762778,574,25,4.33,Clear V4
FINISHED,9.388784444,946,100,115.2,Clear V4
FINISHED,6.406186667,552,100,20.63,Flexible V2
FINISHED,3.619548611,751,25,8.36,Clear V4
FINISHED,3.476176944,442,100,32.81,White V4
FINISHED,2.860767222,368,50,15.47,White V4
FINISHED,9.192261944,1163,100,100.03,Clear V4
FINISHED,0.810736389,60,100,6.27,Castable V2
FINISHED,3.888643889,416,100,40.74,Castable V2
FINISHED,6.005380556,1163,100,40.94,Clear V4
FINISHED,6.034841944,1163,100,40.94,Clear V4
FINISHED,2.079061389,235,50,16.62,Castable V2
FINISHED,5.721379722,561,100,73.11,Clear V4
FINISHED,5.844391111,561,100,73.11,Clear V4
FINISHED,5.555146944,705,100,24.39,Tough V5
FINISHED,2.243448333,368,50,7.73,White V4
FINISHED,4.845148889,943,100,23.9,Black V4
FINISHED,4.976949722,943,100,23.9,Black V4
FINISHED,1.916711111,943,100,23.9,Black V4
FINISHED,4.412875278,355,100,36.85,Tough V5
FINISHED,3.552155278,336,100,38.79,Black V4
FINISHED,4.569089167,306,100,49.94,White V4
FINISHED,5.770271111,585,100,60.72,White V4
FINISHED,9.260765278,1106,50,69.71,White V4
FINISHED,4.933926389,571,100,67.4,Grey V4
FINISHED,4.009386944,401,50,18.94,White V4
FINISHED,3.487755278,401,50,18.94,White V4
FINISHED,3.262031389,401,50,18.94,White V4
FINISHED,9.804190556,693,50,127.6,Grey V4
FINISHED,1.465328889,162,50,2.85,Black V4
FINISHED,4.87887,401,100,54.24,Black V4
FINISHED,9.773698889,956,100,180.16,Grey V4
FINISHED,6.165731667,1280,25,12.94,High Temp V1
FINISHED,4.0426625,365,50,28.65,Black V4
FINISHED,6.075680278,401,100,58.45,Black V4
FINISHED,7.544652222,1433,50,37.85,Grey V4
FINISHED,7.366049722,1433,50,37.85,Grey V4
FINISHED,4.5398775,989,25,5.01,Grey V4
FINISHED,6.402031111,527,50,5.04,Tough V5
FINISHED,15.31344278,1625,50,66.83,Tough V5
FINISHED,15.12877917,1625,50,66.83,Tough V5
FINISHED,16.45749639,1568,50,77.54,Tough V5
FINISHED,19.27201583,1568,50,77.54,Tough V5
FINISHED,4.262246111,248,100,74.96,Grey V4
FINISHED,4.605196667,938,25,2.34,Grey V4
FINISHED,6.3729575,818,100,37.37,Tough V5
FINISHED,4.295746667,248,100,65.92,Grey V4
FINISHED,7.070740556,1126,50,40.2,White V4
FINISHED,15.06207,803,100,292.19,Clear V4
FINISHED,19.32450583,1344,100,238.68,Tough V5
FINISHED,2.034979722,323,50,9.01,White V4
FINISHED,6.261211944,820,100,86.5,Grey V4
FINISHED,11.84165056,2501,25,25.83,Grey V4
FINISHED,10.14424917,1743,100,70.04,Black V4
FINISHED,4.7992475,857,100,33.49,White V4
FINISHED,8.504348056,1650,50,33.51,Black V4
FINISHED,1.422913333,193,50,3.5,Clear V4
FINISHED,5.711582778,772,100,50.67,Clear V4
FINISHED,5.894890833,1103,25,18.79,Black V4
FINISHED,6.901631667,959,50,50.65,White V4
FINISHED,1.209389167,218,100,4.2,Clear V4
FINISHED,35.69110917,6741,25,120.74,Clear V4
FINISHED,14.85820667,1344,100,146.08,Tough V5
FINISHED,12.69222972,734,100,140.51,Tough V5
FINISHED,3.117613889,446,100,26.55,Clear V4
FINISHED,3.577216389,817,25,4.94,Clear V4
FINISHED,3.980263056,706,25,15.92,Clear V4
FINISHED,96.02679306,1720,100,91.92,Clear V4
FINISHED,3.205335833,348,50,1.98,White V4
FINISHED,3.165491111,243,50,2.81,White V4
FINISHED,5.351790278,337,50,3.28,White V4
FINISHED,22.0270325,706,25,15.92,Clear V4
FINISHED,66.27788889,6808,25,158.6,Clear V4
FINISHED,22.36281667,401,100,58.45,Black V4
FINISHED,18.231575,1742,100,177.69,Flexible V2
FINISHED,2.151808056,343,50,2.22,White V4
FINISHED,16.91672694,1142,50,99,Tough V5
FINISHED,18.73317028,853,100,302.39,Flexible V2
FINISHED,3.427263333,313,50,3.35,Flexible V2
FINISHED,3.0584825,206,50,4.27,Flexible V2
FINISHED,19.0364525,753,100,116.28,Tough V5
FINISHED,4.522986111,1282,25,14.89,Clear V4
FINISHED,70.13271556,3020,25,366.78,Clear V4
FINISHED,4.914426667,1057,25,10.54,Clear V4
FINISHED,2.0961525,437,50,1.69,Clear V4
FINISHED,8.3775,2669,25,12.68,Clear V4
FINISHED,5.695408056,733,100,12.03,Flexible V2
FINISHED,3.726453333,578,100,14.65,Flexible V2
FINISHED,9.820941667,1625,50,32.75,Tough V5
FINISHED,23.17687472,805,50,15.26,Clear V4
FINISHED,34.47114222,510,100,84.24,Flexible V2
FINISHED,7.758413889,510,100,86.56,Flexible V2
FINISHED,0.975844722,197,100,5.21,Clear V4
FINISHED,16.03937889,2069,50,75.86,Black V4
FINISHED,23.85692528,502,100,233.48,Tough V5
FINISHED,6.865516111,1295,50,30.17,White V4
FINISHED,13.13143306,1372,50,124.05,White V4
FINISHED,6.028305833,845,100,32.41,Tough V5
FINISHED,6.206765556,607,100,19.25,Flexible V2
FINISHED,21.57538694,1585,100,414.45,Clear V4
FINISHED,6.552364444,948,100,74.15,Grey V4
FINISHED,11.11387,1719,100,156.33,Grey V4
FINISHED,13.24585139,1449,100,176.55,Black V4
FINISHED,12.97355278,1339,50,100.85,Black V4
FINISHED,2.543681667,647,25,2.15,Black V4
FINISHED,2.306058056,647,25,2.15,Black V4
FINISHED,6.164647778,1490,25,22.43,Clear V4
FINISHED,20.07029306,2315,50,256.27,Clear V4
FINISHED,8.058079167,675,50,75.75,Clear V4
FINISHED,6.629784722,1171,50,33.63,Black V4
FINISHED,5.691241389,915,100,49.57,Black V4
FINISHED,10.38735,1619,100,115.53,Black V4
FINISHED,21.19338667,1626,50,257.89,Clear V4
FINISHED,17.05471528,3360,50,76.5,Clear V4
FINISHED,11.56540111,1700,100,124.23,Black V4
FINISHED,4.018791111,494,100,28.43,Black V4
FINISHED,11.18405028,1700,100,124.23,Black V4
FINISHED,8.776858889,1685,25,30.06,Grey V4
FINISHED,0.000773056,1118,100,310.21,Clear V4
FINISHED,14.31880306,869,100,284.99,Clear V4
FINISHED,3.360036111,673,100,14.84,Black V4
FINISHED,7.125160556,920,100,81.44,Black V4
FINISHED,6.977893611,1315,100,48.94,Black V4
FINISHED,8.840605556,919,100,105.04,Black V4
FINISHED,5.251659444,438,100,52.36,Black V4
FINISHED,15.64962472,1118,100,310.21,Clear V4
FINISHED,13.84287139,869,100,284.99,Clear V4
FINISHED,2.408683889,477,100,16.78,Clear V4
FINISHED,1.440212778,180,100,16.06,Clear V4
FINISHED,5.126126944,719,100,62.76,Clear V4
FINISHED,6.378105,1628,25,6.02,Black V4
FINISHED,4.432098056,677,100,44.85,Black V4
FINISHED,2.014943333,122,100,21.64,Black V4
FINISHED,2.010199444,122,100,21.64,Black V4
FINISHED,2.255112778,289,100,20.87,Black V4
FINISHED,4.2887875,422,100,53.19,Black V4
FINISHED,23.72022778,1700,100,89,Black V3
FINISHED,41.14081111,5442,25,251.53,Clear V4
FINISHED,7.229952778,675,50,76.37,Clear V4
FINISHED,6.613976389,1507,100,52.58,Grey V4
FINISHED,8.139329444,1700,100,72.14,Grey V4
FINISHED,5.047053056,889,50,31.68,Grey V4
FINISHED,5.170198889,889,50,31.68,Grey V4
FINISHED,1.006463889,100,100,1.67,Grey V4
FINISHED,6.614013333,573,100,130.53,Grey V4
FINISHED,6.761599444,577,100,126.25,Grey V4
FINISHED,5.810879722,640,100,91.5,Grey V4
FINISHED,12.71385167,1000,100,265.73,Grey V4
FINISHED,2.881352778,241,100,39.03,Grey V4
FINISHED,18.5175525,3340,50,105.78,Black V3
FINISHED,7.020676944,174,100,82.82,Black V3
FINISHED,12.72040806,1702,100,104.65,Black V3
FINISHED,10.35826722,181,100,131.22,Black V3
FINISHED,6.053983611,170,100,98.22,Black V3
FINISHED,2.878260833,130,100,28.27,Black V3
FINISHED,1.709595556,329,100,4.6,Black V3
